neighbourhood_group,neighbourhood
,Downtown
,Downtown Eastside
,Dunbar Southlands
,Grandview-Woodland
,Hastings-Sunrise
,Kensington-Cedar Cottage
,South Cambie
,Strathcona
,Sunset
,Victoria-Fraserview
,West End
,West Point Grey
,Kerrisdale
,Killarney
,Kitsilano
,Marpole
,Mount Pleasant
,Oakridge
,Renfrew-Collingwood
,Riley Park
,Arbutus Ridge
,Fairview
,Shaughnessy
